w_assoc_parm,alpha_gate,gate,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
1.3,0.5,0.3,70.907,69.291,72.865,73.735,80.726,77.866,82.152,83.06,73.284,90.307,79.462,71.759,84.547,80.817,84.998,88.169,96.529,33.987,32.68,33.333,10761,1444,387,55,52,50,51,199,67.634,86.396,82.655,90.492,10088,2117,1060,11148,12205,133,"153
"
0.7,0.5,0.3,71.188,69.244,73.499,73.723,80.648,78.545,82.142,83.038,73.597,90.615,79.45,71.994,84.474,80.786,84.941,88.177,96.46,33.987,33.333,32.68,10762,1443,395,57,52,51,50,200,67.531,87.133,83.392,91.225,10178,2027,979,11157,12205,137,"153
"
2.9,0.5,0.3,70.348,69.041,71.974,73.424,80.755,77.071,81.599,83.051,72.685,89.544,79.435,71.129,84.367,80.793,84.81,87.866,96.639,32.68,34.641,32.68,10724,1481,373,54,50,53,50,201,67.49,85.915,82.016,90.205,10010,2195,1087,11097,12205,138,"153
"
1.2,0.5,0.3,71.058,69.343,73.122,73.776,80.75,78.135,82.166,83.068,73.434,90.454,79.492,71.903,84.58,80.818,85.023,88.193,96.529,33.987,32.68,33.333,10764,1441,387,54,52,50,51,198,67.663,86.582,82.843,90.673,10111,2094,1040,11151,12205,133,"153
"
2.2,0.5,0.3,70.712,69.43,72.329,73.756,80.916,77.334,81.821,83.103,73.024,89.86,79.568,71.5,84.834,80.844,85.236,88.193,96.755,33.987,33.333,32.68,10764,1441,361,49,52,51,50,197,67.94,86.267,82.45,90.454,10063,2142,1062,11125,12205,135,"153
"
0.3,0.5,0.3,69.675,69.193,70.496,73.709,80.611,75.621,81.166,83.051,72.067,88.407,79.455,70.244,84.285,80.806,84.801,88.12,96.371,33.987,34.641,31.373,10755,1450,405,63,52,53,48,204,67.371,84.109,80.508,88.047,9826,2379,1334,11160,12205,138,"153
"
1.6,0.5,0.3,71.058,69.378,73.085,73.802,80.763,78.104,82.136,83.068,73.428,90.446,79.499,71.904,84.596,80.818,85.023,88.202,96.521,33.987,33.987,32.026,10765,1440,388,52,52,52,49,196,67.677,86.557,82.827,90.639,10109,2096,1044,11153,12205,133,"153
"
0.1,0.5,0.3,69.597,69.047,70.471,73.582,80.537,75.347,81.842,83.024,71.994,88.423,79.412,70.219,84.097,80.771,84.629,87.997,96.314,33.987,33.333,32.68,10740,1465,411,65,52,51,50,208,67.176,84.064,80.434,88.037,9817,2388,1334,11151,12205,139,"153
"
1.8,0.5,0.3,70.651,69.29,72.353,73.739,80.73,77.481,81.565,83.066,73.027,89.911,79.439,71.424,84.678,80.827,85.096,88.218,96.582,33.987,33.333,32.68,10767,1438,381,51,52,51,50,199,67.765,86.156,82.425,90.24,10060,2145,1088,11148,12205,134,"153
"
1.1,0.5,0.3,71.038,69.313,73.114,73.756,80.727,78.131,82.147,83.058,73.42,90.454,79.471,71.884,84.498,80.813,84.941,88.152,96.485,33.987,32.68,33.333,10759,1446,392,54,52,50,51,201,67.585,86.539,82.802,90.629,10106,2099,1045,11151,12205,133,"153
"
2.1,0.5,0.3,70.709,69.417,72.336,73.742,80.915,77.342,81.8,83.102,73.021,89.857,79.567,71.497,84.818,80.844,85.219,88.177,96.754,33.987,32.68,33.333,10762,1443,361,49,52,50,51,197,67.926,86.24,82.417,90.434,10059,2146,1064,11123,12205,134,"153
"
1.9,0.5,0.3,70.485,69.353,71.952,73.77,80.793,76.855,81.788,83.098,72.84,89.512,79.554,71.211,84.711,80.832,85.129,88.218,96.617,33.987,33.333,32.68,10767,1438,377,51,52,51,50,197,67.801,85.682,81.958,89.761,10003,2202,1141,11144,12205,135,"153
"
2.4,0.5,0.3,70.691,69.391,72.325,73.716,80.908,77.339,81.783,83.096,73.002,89.848,79.554,71.478,84.785,80.842,85.195,88.152,96.754,33.987,33.333,32.68,10759,1446,361,50,52,51,50,198,67.896,86.217,82.384,90.423,10055,2150,1065,11120,12205,135,"153
"
1.0,0.5,0.3,70.728,69.115,72.691,73.632,80.599,77.727,81.863,83.033,73.145,90.078,79.375,71.499,84.375,80.794,84.85,88.103,96.439,33.987,32.68,33.333,10753,1452,397,58,52,50,51,199,67.454,86.157,82.433,90.233,10061,2144,1089,11150,12205,135,"153
"
