det_thresh,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
0.0,66.284,65.57,67.409,74.604,74.622,71.759,81.271,82.675,70.888,84.497,78.532,66.357,77.599,80.526,78.787,89.381,89.403,32.68,37.908,29.412,10909,1296,1293,145,50,58,45,244,60.193,78.477,78.468,78.487,9577,2628,2625,12202,12205,220,"153
"
0.1,66.284,65.57,67.409,74.604,74.622,71.759,81.271,82.675,70.888,84.497,78.532,66.357,77.599,80.526,78.787,89.381,89.403,32.68,37.908,29.412,10909,1296,1293,145,50,58,45,244,60.193,78.477,78.468,78.487,9577,2628,2625,12202,12205,220,"153
"
0.2,68.056,67.577,68.919,74.723,77.085,74.066,80.911,82.729,71.741,86.67,78.805,68.301,81.122,80.484,81.942,89.439,92.266,33.987,34.641,31.373,10916,1289,915,100,52,53,48,223,63.667,81.17,79.926,82.453,9755,2450,2076,11831,12205,189,"153
"
0.3,69.569,68.313,71.244,74.773,78.047,76.505,80.903,82.782,72.966,88.655,78.815,69.873,82.196,80.617,82.892,89.349,93.261,33.987,35.294,30.719,10905,1300,788,85,52,54,47,221,64.877,83.672,81.917,85.504,9998,2207,1695,11693,12205,170,"153
"
0.4,70.137,69.124,71.517,74.61,79.364,76.727,81.529,82.902,73.032,89.366,79.1,70.688,83.703,80.705,84.277,89.144,94.823,34.641,34.641,30.719,10880,1325,594,70,53,53,47,219,66.503,85.029,82.483,87.737,10067,2138,1407,11474,12205,156,"153
"
0.5,69.365,68.997,70.088,73.989,79.971,74.962,81.943,82.968,71.992,88.34,79.191,69.957,83.859,80.769,84.408,88.464,95.616,34.641,32.026,33.333,10797,1408,495,67,53,49,51,208,66.846,83.543,80.418,86.92,9815,2390,1477,11292,12205,151,"153
"
0.6,71.188,69.244,73.499,73.723,80.648,78.545,82.142,83.038,73.597,90.615,79.45,71.994,84.474,80.786,84.941,88.177,96.46,33.987,33.333,32.68,10762,1443,395,57,52,51,50,200,67.531,87.133,83.392,91.225,10178,2027,979,11157,12205,137,"153
"
0.7,69.338,67.187,71.822,70.831,81.764,76.63,82.235,83.474,71.312,87.029,80.242,69.834,81.852,81.304,82.22,84.424,97.456,31.373,30.719,37.908,10304,1901,269,45,48,47,58,164,66.068,84.529,78.878,91.053,9627,2578,946,10573,12205,122,"153
"
0.8,62.926,56.401,70.329,58.435,84.074,74.256,84.089,84.832,64.103,76.058,82.435,62.698,67.825,82.964,68.029,68.767,98.939,20.915,27.451,51.634,8393,3812,90,25,32,42,79,89,56.11,77.475,65.662,94.471,8014,4191,469,8483,12205,104,"153
"
0.9,0.58426,0.13756,2.4816,0.13756,93.275,2.4824,93.5,91.204,0.58427,0.62657,90.659,0.56804,0.14748,90.659,0.14748,0.14748,100,0,0,100,18,12187,0,0,0,0,153,0,0.1337,0.29453,0.14748,100,18,12187,0,18,12205,4,"153
"
1.0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,100,0,12205,0,0,0,0,153,0,0,0,0,0,0,12205,0,0,12205,0,"153
"
