alpha_gate,gate,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
0.1,0.4,67.187,66.097,68.768,70.763,83.954,74.69,82.133,87.02,69.692,78.371,84.31,66.075,76.541,85.33,77.226,80.757,95.81,53.392,31.858,14.749,43520,10370,1903,369,181,108,50,458,64.694,78.233,72.088,85.525,38848,15042,6575,45423,53890,396,"339
"
0.4,0.3,69.301,66.943,72.194,71.494,84.22,76.927,84.837,86.984,71.785,81.019,84.406,68.384,78.248,85.166,78.558,81.724,96.271,56.637,28.614,14.749,44041,9849,1706,167,192,97,50,290,66.125,81.827,75.645,89.11,40765,13125,4982,45747,53890,409,"339
"
1.0,0.5,68.205,67.06,69.86,72.063,83.566,77.508,80.478,86.889,70.885,79.696,84.191,67.097,78.076,85.113,78.371,82.303,95.44,57.522,28.319,14.159,44353,9537,2119,159,195,96,48,285,65.824,79.837,74.342,86.209,40063,13827,6409,46472,53890,328,"339
"
0.6,1.0,63.624,65.638,62.214,71.676,81.785,75.361,70.517,86.677,66.683,74.619,83.518,62.32,75.671,84.947,76.343,81.991,93.555,57.817,28.614,13.569,44185,9705,3044,362,196,97,46,453,63.329,72.56,68.076,77.677,36686,17204,10543,47229,53890,223,"339
"
0.4,0.5,68.291,66.475,70.642,71.422,83.587,77.125,81.993,86.946,70.964,79.831,84.175,67.198,77.153,85.224,77.597,81.522,95.407,55.457,30.088,14.454,43932,9958,2115,239,188,102,49,349,65.108,79.722,73.921,86.512,39836,14054,6211,46047,53890,369,"339
"
0.2,0.8,64.21,65.186,63.754,71.171,81.867,75.382,72.943,86.839,67.279,75.058,83.727,62.844,74.55,85.228,75.426,81.18,93.381,54.867,31.563,13.569,43748,10142,3101,472,186,107,46,516,62.558,73.09,68.315,78.582,36815,17075,10034,46849,53890,269,"339
"
0.5,0.5,67.993,66.826,69.655,71.691,83.753,77.068,80.649,86.946,70.601,79.396,84.264,66.902,77.641,85.172,78.061,81.83,95.597,55.457,30.383,14.159,44098,9792,2031,226,188,103,48,334,65.508,78.969,73.283,85.612,39492,14398,6637,46129,53890,353,"339
"
0.3,0.8,63.938,65.325,63.096,71.16,82.091,74.989,72.668,86.822,66.921,74.825,83.731,62.652,75.136,85.175,75.866,81.275,93.76,53.982,32.743,13.274,43799,10091,2915,393,183,111,45,476,63.088,72.613,67.779,78.191,36526,17364,10188,46714,53890,284,"339
"
0.5,0.6,67.444,66.246,69.154,71.646,82.877,77.268,78.989,86.862,70.319,78.92,83.931,66.239,76.615,85.131,77.114,81.781,94.601,55.752,30.973,13.274,44072,9818,2515,269,189,105,45,361,64.455,78.235,72.934,84.367,39304,14586,7283,46587,53890,311,"339
"
0.0,0.2,69.385,67.096,72.223,71.655,84.215,76.893,85.353,86.953,71.877,81.156,84.361,68.464,78.343,85.195,78.655,81.87,96.221,56.342,28.909,14.749,44120,9770,1733,168,191,98,50,288,66.222,81.421,75.35,88.557,40606,13284,5247,45853,53890,401,"339
"
0.0,0.3,68.968,66.772,71.698,71.445,84.024,76.813,84.36,86.976,71.511,80.682,84.346,68.051,78.007,85.292,78.408,81.718,96.107,57.227,28.614,14.159,44038,9852,1784,216,194,97,48,319,65.988,81.186,75.109,88.333,40476,13414,5346,45822,53890,388,"339
"
0.4,0.9,64.429,65.274,64.103,71.264,81.799,76.621,72.561,86.716,67.506,75.684,83.539,63.225,75.159,84.976,75.868,81.494,93.542,56.047,30.678,13.274,43917,9973,3032,382,190,104,45,447,62.915,73.831,69.076,79.288,37225,16665,9724,46949,53890,267,"339
"
0.5,0.0,69.178,67.265,71.604,71.653,84.513,76.77,84.145,87.019,71.569,80.642,84.553,68.185,78.473,85.154,78.72,81.752,96.424,56.637,28.024,15.339,44056,9834,1634,133,192,95,52,266,66.336,80.922,74.765,88.183,40291,13599,5399,45690,53890,398,"339
"
0.4,0.0,69.178,67.265,71.604,71.653,84.513,76.77,84.145,87.019,71.569,80.642,84.553,68.185,78.473,85.154,78.72,81.752,96.424,56.637,28.024,15.339,44056,9834,1634,133,192,95,52,266,66.336,80.922,74.765,88.183,40291,13599,5399,45690,53890,398,"339
"
1.0,1.0,63.092,65.676,61.16,71.93,81.552,75.361,69.071,86.713,66.228,73.913,83.507,61.722,75.765,85.076,76.433,82.318,93.329,58.112,28.319,13.569,44361,9529,3171,360,197,96,46,427,63.481,71.058,66.866,75.81,36034,17856,11498,47532,53890,220,"339
"
0.2,0.9,63.614,65.099,62.686,71.178,81.729,75.146,71.558,86.845,66.709,74.332,83.706,62.22,74.505,85.186,75.337,81.214,93.252,54.277,31.858,13.864,43766,10124,3167,448,184,108,47,506,62.475,71.829,67.192,77.153,36210,17680,10723,46933,53890,261,"339
"
0.4,0.2,69.223,67.473,71.48,71.948,84.397,76.465,84.314,86.974,71.654,80.82,84.459,68.26,78.744,85.097,78.996,82.123,96.332,57.522,28.024,14.454,44256,9634,1685,136,195,95,49,261,66.505,81.203,75.214,88.228,40533,13357,5408,45941,53890,401,"339
"
0.5,0.2,69.41,67.45,71.891,71.948,84.356,76.818,84.569,86.961,71.859,81.055,84.43,68.435,78.785,85.093,79.026,82.158,96.327,57.522,28.024,14.454,44275,9615,1688,130,195,95,49,257,66.537,81.289,75.311,88.299,40585,13305,5378,45963,53890,400,"339
"
0.6,0.2,69.519,67.467,72.093,71.918,84.427,77.04,84.56,86.971,71.946,81.182,84.485,68.586,78.816,85.092,79.055,82.119,96.403,57.227,28.319,14.454,44254,9636,1651,129,194,96,49,262,66.574,81.513,75.474,88.603,40673,13217,5232,45905,53890,397,"339
"
0.2,0.6,65.866,65.531,66.699,71.002,82.686,75.652,77.54,86.938,68.742,76.905,83.978,64.583,75.459,85.239,76.202,81.035,94.371,55.752,30.088,14.159,43670,10220,2605,400,189,102,48,456,63.497,75.925,70.56,82.172,38025,15865,8250,46275,53890,314,"339
"
0.2,0.4,67.72,66.263,69.656,70.985,83.88,75.475,82.785,86.993,70.258,79.138,84.307,66.718,77.057,85.261,77.59,81.108,95.843,55.162,30.088,14.749,43709,10181,1896,287,187,102,50,415,65.102,79.58,73.463,86.808,39589,14301,6016,45605,53890,404,"339
"
0.1,0.3,68.648,66.677,71.151,71.246,84.163,75.795,85.038,87.008,71.135,80.205,84.425,67.713,77.803,85.261,78.213,81.433,96.197,56.932,28.319,14.749,43884,10006,1735,221,193,96,50,334,65.801,80.612,74.426,87.92,40108,13782,5511,45619,53890,416,"339
"
0.4,1.0,63.698,65.165,62.783,71.154,81.78,75.895,70.887,86.718,66.75,74.697,83.567,62.422,74.819,84.923,75.565,81.286,93.425,55.752,30.678,13.569,43805,10085,3083,402,189,104,46,487,62.564,72.569,67.855,77.988,36567,17323,10321,46888,53890,268,"339
"
0.9,0.8,63.969,65.767,62.768,71.851,81.724,76.139,70.703,86.615,67.063,75.125,83.463,62.702,76.007,84.865,76.66,82.29,93.596,57.522,30.383,12.094,44346,9544,3034,352,195,103,41,449,63.552,72.675,68.285,77.668,36799,17091,10581,47380,53890,225,"339
"
0.5,0.4,68.606,66.927,70.794,71.631,83.976,76.958,82.367,86.935,71.149,80.129,84.311,67.557,77.905,85.209,78.267,81.783,95.878,55.752,29.204,15.044,44073,9817,1895,195,189,99,51,312,65.809,80.194,74.299,87.104,40040,13850,5928,45968,53890,389,"339
"
0.9,0.1,69.204,67.333,71.587,71.727,84.514,76.745,84.161,87.017,71.597,80.674,84.553,68.212,78.562,85.152,78.809,81.839,96.43,56.932,28.614,14.454,44103,9787,1633,133,193,97,49,267,66.41,80.947,74.823,88.162,40322,13568,5414,45736,53890,401,"339
"
